0.000	0.000	55.979	21.809	-1.644	28	3.189	1
0.000	0.000	105.906	19.119	-0.415	28	1.949	1
36.000	48.000	114.851	167.548	-0.432	25	1.119	2
60.000	72.000	116.221	167.944	-179.505	32	2.976	2
0.000	0.000	42.473	41.073	2.373	28	3.604	1
0.000	0.000	34.477	29.936	-2.990	28	3.908	1
0.000	0.000	75.279	123.608	-0.054	26	2.296	3
0.000	0.000	71.973	160.142	-0.377	26	2.190	2
0.000	0.000	85.020	159.131	-0.244	26	1.852	2
0.000	0.000	41.244	157.265	0.286	26	2.947	2
0.000	0.000	47.788	155.915	1.089	26	2.829	2
0.000	0.000	41.780	9.914	5.620	28	3.605	1
0.000	0.000	78.198	159.634	-0.297	26	2.023	2
0.000	0.000	28.168	68.915	-0.399	27	3.931	1
0.000	0.000	36.471	32.925	-3.826	28	3.904	1
0.000	0.000	118.101	215.384	0.096	21	1.830	1
0.000	0.000	33.154	14.874	7.216	28	3.970	1
0.000	0.000	19.694	105.633	0.007	26	3.782	3
0.000	0.000	1.627	179.525	-7.650	26	3.950	1
0.000	0.000	90.501	294.245	-3.106	23	2.258	1
0.000	0.000	22.412	156.278	-0.141	26	3.473	2
0.000	0.000	64.517	244.936	0.070	23	3.185	2
0.000	0.000	86.911	228.147	-122.565	32	2.766	2
0.000	0.000	87.827	227.728	-115.966	31	3.051	1
0.000	0.000	44.674	244.579	-122.384	32	2.368	2
0.000	0.000	20.783	80.062	0.262	27	4.000	1
0.000	0.000	35.563	15.252	179.866	29	1.039	1
0.000	0.000	23.800	12.016	-2.009	28	3.985	1
0.000	0.000	19.199	84.222	0.216	27	4.010	1
0.000	0.000	7.891	111.056	-0.355	26	3.993	1
